pickup_location_id,total_trips,avg_fare,total_revenue,avg_distance,tip_rate_pct
237,1675597,9.89,26204389.2,1.92,22.36
132,1664521,47.2,102506541.93,16.31,14.74
236,1491469,10.58,24571829.37,2.13,22.38
161,1428020,12.04,26337850.21,2.52,21.28
186,1166954,12.3,21577511.96,2.47,20.7
162,1161704,11.66,20906630.34,2.49,21.92
142,1159388,11,19773371.49,2.36,22.22
170,1098900,11.75,19882435.79,2.48,21.67
230,1096187,14.01,22908752.41,3.23,20.22
48,1085526,12.37,20283657.78,2.79,20.95
239,1017345,11.2,17644601.68,2.43,22.67
163,1008289,12.04,18511847.31,2.55,21.33
138,970260,31.5,44359542.43,9.8,19.68
234,939830,11.17,16279301.64,2.26,22.21
141,929421,10.54,15231531.7,2.25,22
79,924871,12.04,16917380.96,2.75,21.85
68,890747,12.67,16968523.48,2.67,21.01
107,836119,11.32,14640563.62,2.42,22.03
164,786786,12.16,14644838.99,2.6,21.2
263,750514,11.1,12859977.34,2.54,22.14
229,750457,10.73,12498766.23,2.3,21.79
238,749519,11.47,13017891.3,2.52,21.58
249,745906,11.8,13470183.97,2.56,22.64
140,722542,11.81,12896917.31,2.62,21.11
90,605867,11.41,10680512.42,2.38,22.24
43,600503,11.46,10423912.15,2.35,21.11
100,579745,12.4,10818580.87,2.65,19.73
246,535331,12.37,9992980.12,2.61,20.99
231,503464,14.33,10502377.19,3.4,20.85
262,478770,11.8,8622912.38,2.71,21.59
113,469429,11.64,8364671.73,2.4,22.15
233,462672,12.29,8695819.36,2.75,21.17
137,438755,11.34,7616184.94,2.52,20.81
143,434362,11.16,7433637.81,2.39,21.66
114,429300,12.03,7833357.27,2.65,21.96
264,396354,21.39,11988103.8,6.03,19.42
148,355840,13.92,7252395.12,3.33,20.66
151,328773,11.9,5611621.04,2.65,19.68
144,294534,13.14,5702484.2,2.87,20.38
158,271702,13.07,5332730.29,2.9,21.79
50,268872,12.22,4919507,2.72,20.33
211,257280,12.99,4951607.29,2.85,20.94
75,237422,12.15,4023502.75,2.74,16.43
13,208888,17.64,5216727.85,4.71,20.06
87,206801,17.85,5197867.43,4.8,19.45
166,193797,13.5,3627964.51,3.09,18.53
125,180772,13.06,3537427.74,2.97,22.14
261,176891,17.94,4428811.08,4.63,18.15
70,136130,31.52,6072989.01,9.7,18.89
24,114190,12.76,2058690.62,2.89,19.17
